QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_STATE_FIPS,DEST_STATE_FIPS,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,Destination,Carrier_index,Origin,ARR_DELAY,class,class2
1,1,26,4,53,36,740,1605,325.0,2422.0,196,6,336,-7.0,0,1
4,11,17,5,42,12,1855,2152,177.0,993.0,324,1,289,-3.0,1,1
3,8,30,3,25,37,1249,1510,141.0,728.0,76,1,45,17.0,2,2
3,8,16,3,27,41,855,1035,220.0,1426.0,284,6,258,-20.0,0,1
1,3,29,3,25,8,1005,1250,285.0,1754.0,96,23,45,-4.0,1,1
2,5,14,7,37,24,1950,2120,90.0,361.0,57,23,76,-5.0,1,1
2,4,6,4,12,18,910,1200,170.0,1005.0,184,23,129,-2.0,1,1
2,6,30,5,48,48,1045,1140,55.0,192.0,327,23,166,0.0,1,1
2,5,6,6,36,12,1300,1618,198.0,1096.0,242,6,215,41.0,4,2
1,2,22,3,9,12,740,1050,190.0,1050.0,232,23,29,-18.0,0,1
2,5,23,2,12,13,1322,1454,92.0,404.0,22,6,232,-8.0,0,1
4,12,18,1,48,48,850,1002,72.0,247.0,327,1,97,-7.0,0,1
4,10,21,6,32,48,940,1415,155.0,1069.0,327,23,204,-5.0,1,1
2,4,4,2,72,12,1421,1715,174.0,1046.0,129,3,346,26.0,3,2
1,1,2,1,51,45,1959,2141,102.0,444.0,68,3,95,-15.0,0,1
3,8,11,5,8,46,952,1225,93.0,483.0,135,18,96,-6.0,0,1
2,4,1,6,12,24,1840,2035,115.0,663.0,57,23,195,-4.0,1,1
2,6,12,1,9,48,1815,2111,236.0,1471.0,97,1,29,-15.0,0,1
1,3,17,5,8,6,2230,2350,140.0,853.0,326,23,96,-9.0,0,1
3,7,17,1,53,6,1955,2140,105.0,605.0,351,23,336,3.0,1,1
2,4,15,6,12,39,915,1150,155.0,973.0,77,23,129,-11.0,0,1
1,3,23,4,12,36,2150,26,156.0,1028.0,196,3,283,-12.0,0,1
3,9,15,5,12,13,1620,1838,78.0,271.0,22,6,299,-13.0,0,1
4,10,23,1,49,30,1520,1700,100.0,463.0,154,18,348,-5.0,1,1
2,5,30,2,55,26,1052,1309,77.0,311.0,105,6,256,-5.0,1,1
1,2,20,1,12,48,1136,1400,204.0,1119.0,97,1,129,-12.0,0,1
4,11,14,2,6,53,1520,1728,128.0,679.0,336,2,338,-12.0,0,1
4,11,18,6,53,2,1345,1639,234.0,1533.0,123,2,336,-2.0,1,1
3,7,6,4,48,13,1233,1545,132.0,721.0,22,6,92,-3.0,1,1
2,4,10,1,24,39,1635,1755,80.0,337.0,77,23,57,-10.0,0,1
2,5,9,2,6,15,1050,1348,358.0,2485.0,268,1,206,1.0,1,1
3,7,18,2,48,17,617,857,160.0,925.0,274,15,176,-14.0,0,1
1,3,19,7,27,17,1430,1614,104.0,397.0,274,18,101,-22.0,0,1
1,1,6,5,36,13,1335,1615,160.0,760.0,22,6,196,22.0,3,2
2,6,20,2,12,42,1605,1854,169.0,1013.0,289,1,242,34.0,3,2
4,10,12,4,55,17,1905,2003,58.0,67.0,274,18,244,0.0,1,1
1,2,28,2,42,17,855,930,95.0,402.0,234,23,296,-14.0,0,1
3,8,30,3,32,4,1040,1150,70.0,255.0,290,23,204,-12.0,0,1
3,7,24,1,12,13,810,945,95.0,444.0,22,6,358,-2.0,1,1
1,3,28,2,39,47,1825,1840,75.0,337.0,43,23,77,-13.0,0,1
1,1,21,6,41,6,1735,1900,85.0,479.0,351,23,284,15.0,2,2
1,1,4,3,6,48,1050,1633,223.0,1635.0,176,20,338,147.0,5,3
3,9,30,6,17,27,1750,1920,90.0,349.0,258,23,234,-24.0,0,1
3,8,28,1,72,12,305,607,182.0,1189.0,232,8,346,30.0,3,2
4,11,1,3,6,6,2025,2202,97.0,447.0,338,20,326,-17.0,0,1
2,4,28,5,6,6,1659,1827,88.0,372.0,338,20,353,-6.0,0,1
2,5,15,1,34,36,1640,1750,70.0,195.0,368,7,121,46.0,4,2
2,6,17,6,8,41,1528,1706,158.0,991.0,284,20,96,-9.0,0,1
3,8,26,6,17,6,1325,1555,270.0,1844.0,266,23,234,-17.0,0,1
2,4,16,7,53,49,1119,1423,124.0,689.0,348,6,336,13.0,2,2
3,7,10,1,48,51,1635,2045,190.0,1190.0,174,20,176,19.0,2,2
2,6,12,1,17,37,810,1100,110.0,632.0,314,23,234,-9.0,0,1
